,count
Bengaluru,34
Hyderabad,33
Pune,25
Kolkata,10
Mumbai,7
Bangalore,7
Chandigarh,6
Chennai,6
Mangalore,5
Delhi,5
Gurgaon,4
Bidar,3
Karnataka,3
Noida,3
"Trichur,",3
Mysore,2
Dewas,2
Namakkal,2
Faridabad,2
hyderbad,2
New Delhi,2
Ulhasnagar,2
"Pune,",2
Rajapalaiyam,2
Thane,2
Bangalore Urban,1
"Chennai,",1
Irinchayam B.O,1
Orrisha,1
Navi Mumbai,1
Kullu,1
Jaipur,1
Coimbatore,1
Salem,1
Bishnupur,1
Erode,1
Ghaziabad,1
Thiruvananthapuram,1
Sulthan Bathery,1
Anantapur,1
Banglore,1
Bilaspur,1
Muzaffarpur,1
Itarsi,1
"indeed.com/r/Mohamed-Ameen/
ba052bfa70e4c0b7
",1
"Palghat,",1
