City,Count,NAME_1
Bengaluru,34,Karnataka
Hyderabad,33,Andhra Pradesh
Pune,25,Maharashtra
Kolkata,10,West Bengal
Mumbai,7,Mahrashtra
Bangalore,7,Karnataka
Chandigarh,6,Chandigarh
Chennai,6,Tamil Nadu
Mangalore,5,Karnataka
Delhi,5,Delhi
Gurgaon,4,Haryana
Bidar,3,Karnataka
Karnataka,3,Karnataka
Noida,3,Uttar Pradesh
"Trichur,",3,Kerala
Mysore,2,Tamil Nadu
Dewas,2,Madhya Pradesh
Namakkal,2,Tamil Nadu
Faridabad,2,Haryana
hyderbad,2,Andhra Pradesh
New Delhi,2,Delhi
Ulhasnagar,2,Maharashtra
"Pune,",2,Maharashtra
Rajapalaiyam,2,Tamil Nadu
Thane,2,Maharashtra
Bangalore Urban,1,Karnataka
"Chennai,",1,Tamil Nadu
Irinchayam B.O,1,Kerala
Orrisha,1,Orissa
Navi Mumbai,1,Maharashtra
Kullu,1,Himachal Pradesh
Jaipur,1,Rajashtan
Coimbatore,1,Tamil Nadu
Salem,1,Tamil Nadu
Bishnupur,1,West Bengal
Erode,1,Tamil Nadu
Ghaziabad,1,Uttar Pradesh
Thiruvananthapuram,1,Kerala
Sulthan Bathery,1,Kerala
Anantapur,1,Andhra Pradesh
Banglore,1,Karnataka
Bilaspur,1,Himachal Pradesh
Muzaffarpur,1,Bihar
Itarsi,1,Madhya Pradesh
"Palghat,",1,Kerala
